TransMorph_ssim_1_diffusion_1
,SSIM,det
p0,0.9683091044425964,0.0
p1,0.9685507416725159,0.0
p2,0.9396923780441284,0.001953125
p3,0.9623892903327942,0.0009765625
p4,0.9789325594902039,0.0
p5,0.983291745185852,0.0
p6,0.9889329671859741,0.0
p7,0.9838697910308838,0.0
p8,0.9796977043151855,0.0
p9,0.9798381328582764,0.000732421875
p10,0.9232691526412964,0.0
p11,0.9311484694480896,0.0068359375
p12,0.9727081656455994,0.005859375
p13,0.968457043170929,0.0
p14,0.9956722855567932,0.0
p15,0.9949314594268799,0.0
p16,0.9872093200683594,0.0
p17,0.9883835315704346,0.0
p18,0.9618515968322754,0.000732421875
p19,0.9627354145050049,0.001220703125
p20,0.9645636081695557,0.002197265625
p21,0.9654882550239563,0.0
p22,0.9787411093711853,0.0
p23,0.9804280400276184,0.006103515625
p24,0.9408391118049622,0.0
p25,0.9206047058105469,0.0
p26,0.8018921613693237,0.0078125
p27,0.8100802898406982,0.01708984375
p28,0.9595469832420349,0.004150390625
p29,0.9592173099517822,0.00146484375
p30,0.9427943825721741,0.0009765625
p31,0.9300224781036377,0.00048828125
p32,0.8695954084396362,0.0
p33,0.9139178395271301,0.004638671875
p34,0.9846379160881042,0.0
p35,0.9773643016815186,0.0
p36,0.9934254288673401,0.0
p37,0.9909533262252808,0.0
p38,0.9668585658073425,0.001220703125
p39,0.9744690656661987,0.001708984375
p40,0.8143851161003113,0.008544921875
p41,0.7878710031509399,0.01611328125
p42,0.9618256688117981,0.001708984375
p43,0.9354357123374939,0.0
p44,0.9661058187484741,0.000732421875
p45,0.975188136100769,0.000244140625
p46,0.9885831475257874,0.0
p47,0.9852502346038818,0.0
p48,0.9710844159126282,0.0
p49,0.9739320278167725,0.010009765625
p50,0.9576594233512878,0.0029296875
p51,0.9658480882644653,0.0
p52,0.9909648895263672,0.0
p53,0.9850327372550964,0.0
p54,0.9957060217857361,0.0
p55,0.9958157539367676,0.0
p56,0.9749093651771545,0.002685546875
p57,0.9636732935905457,0.002197265625
p58,0.983782172203064,0.0
p59,0.9862619042396545,0.0
p60,0.931438148021698,0.001220703125
p61,0.9135394096374512,0.00048828125
p62,0.9249343872070312,0.005859375
p63,0.919768750667572,0.03271484375
p64,0.9737143516540527,0.001708984375
p65,0.9731404185295105,0.001953125
p66,0.9878498911857605,0.0
p67,0.9889500141143799,0.0
p68,0.8641611933708191,0.00048828125
p69,0.9374952912330627,0.006103515625
p70,0.8032782673835754,0.00732421875
p71,0.818611204624176,0.019775390625
p72,0.9800344109535217,0.0
p73,0.9798235893249512,0.0
p74,0.9319176077842712,0.004638671875
p75,0.9470947980880737,0.0
p76,0.9746679067611694,0.0
p77,0.9691776633262634,0.0029296875
p78,0.9797657132148743,0.00048828125
p79,0.9831307530403137,0.0
p80,0.9790050983428955,0.0
p81,0.982278048992157,0.0
p82,0.8835826516151428,0.004150390625
p83,0.8835801482200623,0.0
p84,0.9565930366516113,0.001953125
p85,0.9605804085731506,0.0
p86,0.8768207430839539,0.001953125
p87,0.9145405888557434,0.005615234375
p88,0.9937839508056641,0.0
p89,0.9867196083068848,0.0
p90,0.9830883145332336,0.0
p91,0.9839657545089722,0.0
p92,0.9863423705101013,0.0
p93,0.9856139421463013,0.000244140625
p94,0.9864592552185059,0.0
p95,0.9878236055374146,0.0
p96,0.9765809178352356,0.00390625
p97,0.9755747318267822,0.0
p98,0.9803742170333862,0.0
p99,0.9778231978416443,0.001953125
p100,0.8231348395347595,0.014404296875
p101,0.8001512885093689,0.016845703125
p102,0.9873433113098145,0.0
p103,0.9869568347930908,0.0
p104,0.9907297492027283,0.0
p105,0.9895163774490356,0.0
p106,0.9792192578315735,0.000732421875
p107,0.9830695390701294,0.0
p108,0.9618644714355469,0.0
p109,0.9699237942695618,0.0029296875
p110,0.9586202502250671,0.0
p111,0.9763762950897217,0.0
p112,0.9864214062690735,0.0
p113,0.9902337193489075,0.0
p114,0.9689492583274841,0.000244140625
p115,0.976285457611084,0.0
p116,0.9720247983932495,0.00048828125
p117,0.9486566185951233,0.003173828125
p118,0.960351824760437,0.0
p119,0.9545720815658569,0.007568359375
p120,0.9720328450202942,0.0
p121,0.976455569267273,0.0
